"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1373,"NCT04443712","Screening for Patients Admitted to Ain-Shams University Hospitals for SARS-COV-2 (COVID19)",,"Recruiting","No Results Available","Coronavirus Disease 2019 (COVID19)",,"The incidence of the new COVID19 among hospitalized patients|Cost of screening hospitalized patients","Samia Girgis|Ain Shams University","All","Child, Adult, Older Adult",,"1900","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","FMASU P29 /2020","May 29, 2020","June 1, 2021","December 1, 2021","June 23, 2020",,"June 23, 2020","Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",,"https://ClinicalTrials.gov/show/NCT04443712"
1374,"NCT04336761","Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France","INCOVPED","Recruiting","No Results Available","Coronavirus|COVID|Infection Viral","Diagnostic Test: nasopharyngeal swab","Prevalence of positivity of COVID-19 virus measured by rt-PCR|Prevalence of positivity of COVID-19 virus measured by rt-PCR in the following subpopulations of emergency patients|Respiratory signs of children tested within 28 day|Percentage of children hospitalized tested within 28 day|Contact frequency|Prevalence of positivity of other respiratory viruses measured by rt-PCR","University Hospital, Lille","All","up to 18 Years   (Child, Adult)",,"914","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020_21|2020-A00811-38","April 15, 2020","December 2020","December 2020","April 7, 2020",,"May 21, 2020","CH Louis MOURIER, Colombes, France|Hôpital Jeanne de Flandres, CHU, Lille, France|Hôpital Mère Enfant CHU, Nantes, France|Hôpitaux Pédiatriques de Nice CHU-Lenval, Nice, France|Hôpital des enfants - CHU, Toulouse, France|CHU de Tours, Tours, France",,"https://ClinicalTrials.gov/show/NCT04336761"
1375,"NCT04367831","Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19","IMPROVE","Recruiting","No Results Available","COVID-19|Venous Thromboses|Arterial Thrombosis","Drug: Enoxaparin Prophylactic Dose|Drug: Heparin Infusion|Drug: Heparin SC|Drug: Enoxaparin/Lovenox Intermediate Dose","Total Number of Patients with Clinically Relevant Venous or Arterial Thrombotic Events in ICU|Total Number of Patients with In hospital Clinically Relevant Venous or Arterial Thrombotic Events|ICU Length of Stay|Total Number of Patients with the Need for Renal Replacement Therapy in the ICU|Total Number of Patients with Major bleeding in the ICU|Hospital Length of Stay","Columbia University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","AAAS8980","May 2, 2020","November 2020","April 2021","April 29, 2020",,"May 19, 2020","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04367831"
1376,"NCT04453982","Is COVID-19 Transmitted Through Human Milk? Implications for Breastfeeding and Human Milk Banking-Study 1b",,"Recruiting","No Results Available","Sars-CoV2|Breastmilk","Other: Human milk donors","SARS-CoV-2 in breastmilk|SARS-CoV-2 antibody in breastmilk","Deborah O'Connor|University of Toronto|Sinai Health System|The Hospital for Sick Children","All","Child, Adult, Older Adult",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","39373-b","June 21, 2020","February 2021","February 2021","July 1, 2020",,"July 1, 2020","Sinai Health System, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04453982"
1377,"NCT04425382","Darunavir/Cobicistat vs. Lopinavir/Ritonavir in COVID-19 Pneumonia in Qatar","DOLCI","Recruiting","No Results Available","Coronavirus|COVID|Pneumonia","Drug: Darunavir/Cobicistat|Drug: Lopinavir/Ritonavir","Time to Clinical Improvement and/or Virological Clearance (Composite Endpoint)|Percentage of Virological Clearance|Percentage of Clinical Deterioration|Incidence of Adverse Events|Length of Hospital Stay|All-cause Mortality","Hamad Medical Corporation","All","18 Years and older   (Adult, Older Adult)",,"200","Industry","Observational","Observational Model: Other|Time Perspective: Retrospective","MRC-05-069","March 1, 2020","July 2020","September 2020","June 11, 2020",,"June 11, 2020","Hamad Medical Corporation, Doha, Qatar",,"https://ClinicalTrials.gov/show/NCT04425382"
1378,"NCT04353323","COVID 19-Caregivers IGg Seroconversion","CoSigS","Not yet recruiting","No Results Available","Infection, COVID-19","Other: Blood sampling","Seroconversion","University Hospital, Limoges","All","18 Years and older   (Adult, Older Adult)",,"130","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","87RI20_0016/CoSigS","May 25, 2020","June 25, 2020","December 25, 2020","April 20, 2020",,"May 11, 2020","CHU de Limoges, Limoges, France",,"https://ClinicalTrials.gov/show/NCT04353323"
1379,"NCT04407156","Epidemiology of Acute Kidney Injury in COVID19 Disease in United Kingdom",,"Not yet recruiting","No Results Available","COVID|AKI","Other: acute kidney injury","Incidence of Acute kidney injury in COVID-19|All-cause mortality in AKI patients","University Hospitals of Derby and Burton NHS Foundation Trust","All","18 Years to 110 Years   (Adult, Older Adult)",,"350","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","UHDB/2020/050","June 1, 2020","May 21, 2021","May 21, 2021","May 29, 2020",,"May 29, 2020","Derby Hospital NHS Foundation Trust, Derby, Derbyshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04407156"
1380,"NCT04423861","Efficacy and Safety of Nitazoxanide 600 mg TID for the Treatment of Hospitalized Patients With COVID-19",,"Not yet recruiting","No Results Available","covid19","Drug: Nitazoxanide|Drug: Placebo","Viral load|Evolution of acute respiratory syndrome|Change in Clinical Condition|Hospital discharge|Rate of mortality within 21-days|Need of mechanical ventilation","Azidus Brasil|Farmoquimica S.A.|Hospital Casa de Saúde - Vera Cruz - Campinas - SP - Brazil","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NITFQM0520OR","July 2020","August 2020","August 2020","June 9, 2020",,"June 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04423861"
1381,"NCT04324463","Anti-Coronavirus Therapies to Prevent Progression of Coronavirus Disease 2019 (COVID-19) Trial","ACTCOVID19","Recruiting","No Results Available","Coronavirus|Severe Acute Respiratory Syndrome","Drug: Colchicine|Drug: Interferon-Beta|Drug: Aspirin|Drug: Rivaroxaban","Outpatient trial - Colchicine vs. control and Aspirin vs. control|Inpatient trial - Interferon-β vs. control and Colchicine vs. control|Inpatient trial - Aspirin and rivaroxaban vs. control|Outpatient and Inpatient trials - Colchicine vs. control, Interferon-β vs. control|Outpatient and Inpatient trials - Aspirin vs. control, Aspirin and rivaroxaban vs. control","Population Health Research Institute|Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 3","4000","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHRI.ACT.COVID19","April 21, 2020","December 31, 2020","June 30, 2021","March 27, 2020",,"June 29, 2020","Hamilton Health Sciences, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04324463"
1382,"NCT04344756","Trial Evaluating Efficacy and Safety of Anticoagulation in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort","CORIMMUNO-COAG","Not yet recruiting","No Results Available","COVID19 Pneumonia","Drug: Tinzaparin or unfractionated heparin","Survival without ventilation (VNI or mechanical ventilation)|ventilator free survival|World Health Organisation(WHO) progression scale ≤5|World Health Organisation(WHO) progression scale|overall survival|Length of hospital stay|Length of ICU stay|time to oxygenation supply independency|time to ventilator (non invasive or invasive)|rate of acute kidney injury|time to Renal Replacement Therapy (RRT) initiation|rate of clinically overt pulmonary embolism or proximal deep vein thrombosis|Rate of clinically overt arterial thrombosis|Rate of unscheduled central venous catheter replacement for catheter dysfunction|Rate of central venous catheter-related deep vein thrombosis (CVC-DVT)|Rate of unscheduled indwelling arterial catheter replacement for catheter dysfunction|Rate of acute clotting leading to the replacement the renal replacement therapy circuit stratified by regional citrate anticoagulation or not|Time to acute clot formation within the oxygenator (acute oxygenator thrombosis, AOT) leading to the exchange of an extracorporeal membrane oxygenation (ECMO) system|Time to acute clot formation within the pump head (pump head thrombosis, PHT) leading to the exchange of an extracorporeal membrane oxygenation (ECMO) system|Incidence of adverse events","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2","808","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200389-6","April 20, 2020","July 31, 2020","September 30, 2020","April 14, 2020",,"April 15, 2020","Réanimation hôpital Louis Mourier, Colombes, Hauts De Seine, France|réanimation hôpital Cochin, Paris, France|Médecine vasculaire, Hôpital Européen Georges Pompidou, Paris, France",,"https://ClinicalTrials.gov/show/NCT04344756"
1383,"NCT04259892","Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection. COVID-19.","Cov-CONTACT","Recruiting","No Results Available","Coronavirus","Biological: 2019-nCoV PCR","Time to SARS-CoV-2 nasopharyngeal excretion, from the day of the first high/moderate risk contact to 12 days after the last high/moderate risk contact with a laboratory-confirmed SARS-CoV-2 case.|Time to apparition of any symptom suggestive of SARS-CoV-2 from the day of the first high/moderate risk contact to 12 days after the last high/moderate risk contact with a laboratory-confirmed SARS-CoV-2 case.|Factors associated with the time to SARS-CoV-2 nasopharyngeal excretion|Factors associated with the time to apparition of any symptom suggestive of SARS-CoV-2 infection|Proportion of contact subjects with apparition of any symptom suggestive of SARS-CoV-2 infection|Proportion of contact subjects with positive serology defined as the presence of SARS-CoV-2 IgM or IgG at day 30 (+/-7) following last contact|Host genetic variants|The time (days) between the first positive SARS-CoV-2 serology and the first negative SARS-CoV-2 serology.","Institut National de la Santé Et de la Recherche Médicale, France","All","Child, Adult, Older Adult",,"345","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","C20-06|2020-A00280-39","February 4, 2020","October 4, 2020","February 4, 2021","February 7, 2020",,"May 22, 2020","Service de maladies infectieuses et tropicales Hôpital Jean Minjoz CHRU Besançon, Besançon, France|Service des Maladies infectieuses et tropicales, Pôle Spécialités médicales, CHU Pellegrin, Bordeaux, France|Service des maladies infectieuses Hôpital Gabriel Montpied CHU de Clermont Ferrand, Clermont-Ferrand, France|Centre d'investigation clinique 1432 Hôpital François Mitterrand CHU Bourgogne, Dijon, France|Centre d'investigation clinique 1406 CHU Grenoble, Grenoble, France|Centre d'Investigation Clinique 1403 -CHU Lille, Lille, France|Centre Investigation Clinique 1433 CHRU de NANCY, Nancy, France|Centre d'investigation clinique Infectiologie Hôtel-Dieu CHU Nantes, Nantes, France|Centre d'Investigation Clinique Hôpital Saint Louis, Paris, France|Centre d'investigation Clinique 1425, Hôpital Bichat Claude Bernard, Paris, France|Centre Investigation Clinique 1417 Hôpital Cochin Bâtiment Lavoisier, Paris, France|Centre d'investigation clinique 1414 Service de Pharmacologie clinique CHU Rennes Hôpital Pontchaillou, Rennes, France|Centre Hospitalier Félix Guyon Ile de la Réunion CHU nord, Saint Denis, France|Centre d'Investigation Clinique Ile de la Réunion CHU sud, Saint-Pierre, France|Département maladie infectieux CHU Saint Etienne, Saint-Étienne, France|Centre Investigation Clinique 1415 CHRU Tours - Hôpital Bretonneau, Tours, France|Service de Maladies infectieuses et tropicales Centre hospitalier, Cayenne, French Guiana",,"https://ClinicalTrials.gov/show/NCT04259892"
1384,"NCT04344951","Chloroquine Phosphate Against Infection by the Novel Coronavirus SARS-CoV-2 (COVID-19): The HOPE Open-Label, Non Randomized Clinical Trial","HOPE","Recruiting","No Results Available","Pneumonia, Viral|Covid-19","Drug: UNIKINON (Chloroquine phosphate) 200mg tablets","50% reduction in symptom score for patients with lower respiratory tract infection|Lack of progression for patients with upper respiratory tract infection|Comparison of the primary endpoint with respective patients not receiving the treatment|Serious respiratory failure until day 14. This will be compared with respective patients not receiving the treatment.|Frequency of AEs and SAEs","Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.|Athens General Hospital Hippokrateio|Athens General Hospital of Thoracic Diseases SOTIRIA|General Hospital of Athens Sismanoglio|Divine Providence Hospital Pammakaristos|AHEPA University Hospital|University General Hospital of Ioannina|Corfu General Hospital Agia Irini","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","60","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","UNIKINON-01/HOPE","April 6, 2020","April 1, 2021","April 30, 2021","April 14, 2020",,"June 2, 2020","Divine Providence Hospital ""Pammakaristos"", Athens, Greece|Athens General Hospital ""Hippokrateio"", Athens, Greece|Athens General Hospital of Thoracic Diseases ""SOTIRIA"", 1st University Pulmonary Clinic, Athens, Greece|Athens General Hospital of Thoracic Diseases ""SOTIRIA"", 3rd University Pathology Clinic, Athens, Greece|Corfu General Hospital Agia Irini, Corfu, Greece|University General Hospital of Ioannina, Ioánnina, Greece|General Hospital of Athens ""Sismanoglio"", Maroúsi, Greece|University General Hospital of Thessaloniki AHEPA, Thessaloníki, Greece",,"https://ClinicalTrials.gov/show/NCT04344951"
1385,"NCT04389671","The Safety and Preliminary Efficacy of Lucinactant in Adults With COVID-19",,"Not yet recruiting","No Results Available","COVID-19|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)","Drug: Lucinactant","Oxygenation index (OI) area under the curve (AUC)0-12|FiO2|PaO2|Oxygenation from pulse oximetry (SpO2)|P/F ratio|Ventilation Index (VI)|Lung compliance","Windtree Therapeutics","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","02-CL-2001a","June 1, 2020","October 2020","November 2020","May 15, 2020",,"May 15, 2020",,,"https://ClinicalTrials.gov/show/NCT04389671"
1386,"NCT04406246","Prevention of Coronavirus Disease (COVID-19) Outbreaks With Nitazoxanide",,"Recruiting","No Results Available","Coronavirus Infection","Drug: Nitazoxanide 500Mg Oral Tablet","Health workers that require hospitalization","Materno-Perinatal Hospital of the State of Mexico|Laboratorios Liomont","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","150","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-04-682","May 21, 2020","December 31, 2020","December 31, 2020","May 28, 2020",,"May 28, 2020","Materno-Perinatal Hospital ""Mónica Pretelini"", Toluca, Mexico",,"https://ClinicalTrials.gov/show/NCT04406246"
1387,"NCT04441398","Efficacy and Safety of Nitazoxanide 600 mg to Treat Mild Ambulatory COVID-19 Patients",,"Not yet recruiting","No Results Available","covid19","Drug: Nitazoxanide|Drug: Placebo","Change in signs and symptoms scale|Incidence of Treatment-Emergent Adverse Events|The proportion of subjects hospitalized after start of treatment and before the end of the study|The proportion of subjects that need mechanical ventilation after start of treatment and before the end of the study|Duration of symptoms|Rate of mortality within 21-days","Azidus Brasil|Farmoquimica S.A.","All","50 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","300","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NITFQM0720OR","July 2020","September 2020","September 2020","June 22, 2020",,"June 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04441398"
1388,"NCT04361786","Acral Cutaneous Thrombotic Vasculopathy and Covid-19 Infection",,"Recruiting","No Results Available","COVID 19",,"Biological acquired thrombophilia|Overexpression of interferon type I","University Hospital, Montpellier|Lyon Civil Hospitals - Lyon Sud Hospital Center|Marseille University Hospital - Assistance-Publique Hôpitaux de Marseille.","All","Child, Adult, Older Adult",,"10","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","RECHMPL20_0211","April 1, 2020","June 30, 2020","October 30, 2020","April 24, 2020",,"April 24, 2020","Uh Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04361786"
1389,"NCT04403438","Familial Mediterranean Fever and Behçet: Analysis Before and After Covid19 Pandemic",,"Enrolling by invitation","No Results Available","Behcet Disease|COVID|FMF","Other: ıt will be compared pain, sleep, fatigue, physical activity level and quality of life and questioning exercise habits before and after the covid-19 outbreak in patients with Behçet and FMF.","IPAQ-SF|Numeric Rating Scale|Short-Form 36 Health Survey (SF-36)|Exercise Stage of Change Questionnaire|Exercise Self-Efficacy Questionnaire|Decisional Balance Questionnaire","Istanbul University","All","18 Years to 65 Years   (Adult, Older Adult)",,"45","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","10840098-604.01.01-E.14697","April 1, 2020","May 1, 2020","June 15, 2020","May 27, 2020",,"May 27, 2020","IstanbulU, Istanbul, Bakırköy, Turkey",,"https://ClinicalTrials.gov/show/NCT04403438"
1390,"NCT04425759","Prevalence and Risk Factors of SARS-CoV-2 Antibody Responses (COVID-19)","SERO-MARES","Recruiting","No Results Available","Covid19|Corona Virus Infection|SARS-CoV 2|COVID","Diagnostic Test: Blood sample","Antibodies to SARS-CoV2: IgA, IgM, IgG|PCR of nasopharyngeal smears on all IgM +","Hospital de Mataró","All","18 Years and older   (Adult, Older Adult)",,"2400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SERO-MARES (56/20)","June 8, 2020","June 30, 2021","June 30, 2021","June 11, 2020",,"June 16, 2020","Hospital de Mataró, Mataró, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04425759"
1391,"NCT04406181","Psychological Well-being of Patients Awaiting for Cardiac Surgery During the COVID-19 Pandemic",,"Recruiting","No Results Available","Anxiety and Fear|Anxiety Depression|Anxiety Postoperative|Psychological Stress","Behavioral: HADS|Behavioral: a survey","Anxiety/depression by means of Hospital Anxiety and Depression Scale (HADS)|Medical problems induced by deferred elective surgery or delayed postoperative ambulatory visit|Reduced access to medical and psychological help","Universitair Ziekenhuis Brussel","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","COVID-19 Cardiac psy wellbeing","May 18, 2020","December 31, 2020","January 1, 2021","May 28, 2020",,"June 1, 2020","universitair Ziekenhuis Brussel, Jette, Vlaams Brabant, Belgium",,"https://ClinicalTrials.gov/show/NCT04406181"
1392,"NCT04409509","Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID‑19)",,"Recruiting","No Results Available","Coronavirus Disease 2019 (COVID‑19)","Biological: Garadacimab, Factor XIIa Antagonist Monoclonal Antibody|Drug: Placebo","The incidence of tracheal intubation or death prior to tracheal intubation|Proportion of subjects with death from all causes|Proportion of subjects intubated|Number and proportion of subjects with ≥ 2‑point improvement on National Institute of Allergy and Infectious Diseases (NIAID) Ordinal scale|Number and proportion of subjects within each of the categories of the NIAID|Proportion of subjects requiring continuous positive airway pressure (CPAP)|Proportion of subjects requiring bilevel positive airway pressure (BiPAP)|Proportion of subjects requiring high‑flow nasal cannula (HFNC)|Proportion of subjects requiring extracorporeal membrane oxygenation (ECMO)|Maximum change from baseline in Sequential Organ Failure Assessment (SOFA) score|Average SOFA score over the subject's duration of the study|Length of hospital stay|Number and proportion of subjects experiencing Adverse Events (AEs)|Number and proportion of subjects experiencing serious adverse events (SAEs)|Number and proportion of subjects with adverse events of special interest (AESIs)|Number and proportion of subjects with CSL312 induced anti‑CSL312 antibodies|Maximum plasma concentration (Cmax) of CSL312|Time to maximum plasma concentration (Tmax) of CSL312|Area under the plasma concentration‑time curve (AUC) of CSL312","CSL Behring","All","18 Years and older   (Adult, Older Adult)","Phase 2","124","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CSL312_COVID-19","July 2020","December 2020","December 2020","June 1, 2020",,"July 2, 2020","Inspira Health Center Vineland, Vineland, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04409509"
1393,"NCT04429854","Donated Antibodies Working Against nCoV","DAWN-Plasma","Recruiting","No Results Available","COVID-19","Biological: Convalescent Plasma|Drug: Standard of care","Patients requiring mechanical ventilation or death|Clinical status of subject at day 15 and day 30 (on a 10-point ""WHO progression"" ordinal scale)","Universitaire Ziekenhuizen Leuven|Federal Knowledge Centre (KCE)","All","18 Years and older   (Adult, Older Adult)","Phase 2","483","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","S63992","May 2, 2020","November 2, 2021","November 2, 2021","June 12, 2020",,"June 12, 2020","ZNA, Antwerpen, Belgium|Institut Bordet, Brussel, Belgium|UMC Sint-Pieter, Brussel, Belgium|CHU Brugmann, Brussel, Belgium|Erasmus Ziekenhuis, Brussel, Belgium|UZ Brussel, Brussel, Belgium|Cliniques Universitaires St Luc, Brussel, Belgium|AZ Groeninge, Kortrijk, Belgium|UZ Leuven, Leuven, Belgium|CHC Liège Mont Légia, Liège, Belgium|CHR Citadelle Liège, Liège, Belgium|CHU Liège Sart-Tilman, Liège, Belgium|CHR Jolimont Mons-Hainaut, Mons, Belgium|AZ Delta, Roeselare, Belgium",,"https://ClinicalTrials.gov/show/NCT04429854"
1394,"NCT04348474","Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Ambulatory Patients With Mild COVID-19",,"Suspended","No Results Available","Covid-19","Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin Tablets","Change in Clinical Condition|Hospitalization|Rate of mortality within 28-days|Change in Clinical Condition related to comorbidity","Azidus Brasil","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","200","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HIAPRE0420OR","April 20, 2020","June 30, 2020","July 31, 2020","April 16, 2020",,"April 22, 2020","Prevent Senior Private Operadora de Saúde LTDA., São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04348474"
1395,"NCT04352400","Efficacy of Nafamostat in Covid-19 Patients (RACONA Study)","RACONA","Not yet recruiting","No Results Available","COVID19","Drug: Nafamostat Mesilate|Drug: Placebo","Time-to-clinical improvement|Responders|Critical or dead patients|pO2/FiO2 ratio|SOFA score over time|Hospitalization|Mechanical ventilation|Mechanical ventilation duration|Cardiovascular disease","University Hospital Padova|Yokohama City University|University of Zurich","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2|Phase 3","256","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","RACONA Nafamostat","April 2020","December 2021","December 2021","April 20, 2020",,"April 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04352400"
1396,"NCT04328012","COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2","COVIDMED","Recruiting","No Results Available","SARS-CoV-2 Infection","Drug: lopinavir/ritonavir|Drug: Hydroxychloroquine Sulfate|Drug: Losartan|Drug: Placebos","National Institute of Allergy and Infectious Diseases COVID-19 Ordinal Severity Scale (NCOSS)|Hospital length of stay (LOS)|Intensive care unit level LOS|Mechanical ventilation|survival","Bassett Healthcare","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","4000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1581969","April 6, 2020","January 1, 2021","April 1, 2021","March 31, 2020",,"April 8, 2020","Bassett Medical Center, Cooperstown, New York, United States",,"https://ClinicalTrials.gov/show/NCT04328012"
1397,"NCT04356677","Study to Evaluate the Safety and Efficacy of VIRAZOLE® in Hospitalized Adult Participants With Respiratory Distress Due to COVID-19",,"Not yet recruiting","No Results Available","COVID19","Drug: 50 mg/mL Virazole|Drug: 100 mg/mL Virazole","Change in the clinical status severity (CSS) rating from the first dose date up to the completion of treatment|Time to recover gas exchange to a PaO2/FiO2 ≥300 for at least 24 hours.|Time to reach peripheral capillary oxygen saturation (Sp02) >94% for at least 24 hours.","Bausch Health Americas, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BHC-RIB-5401-HC","April 2020","April 2021","April 2021","April 22, 2020",,"April 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04356677"
1398,"NCT04399252","Effect of Lactobacillus on the Microbiome of Household Contacts Exposed to COVID-19",,"Recruiting","No Results Available","Microbiome","Dietary Supplement: Lactobaciltus rhamnosus GG|Dietary Supplement: Lactobaciltus rhamnosus GG Placebo","Change in Shannon Diversity|Change in Shannon Diversity in patients that develop COVID-19","Duke University","All","1 Year and older   (Child, Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science","Pro00105674","June 24, 2020","May 25, 2022","May 25, 2022","May 22, 2020",,"July 1, 2020","Duke University, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04399252"
1399,"NCT04411563","Epigenetic Tools as Prognostic Predictors in Covid19",,"Recruiting","No Results Available","Prognosis","Other: Taking biological samples","Determination of the relationship between the severity of disease and epigenetic factors in COVID 19","Bakirkoy Dr. Sadi Konuk Research and Training Hospital|Istanbul University","All","18 Years to 65 Years   (Adult, Older Adult)",,"105","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020/143","May 21, 2020","September 2020","December 2020","June 2, 2020",,"June 2, 2020","Bakirkoy Dr. Sadi Konuk Research and Training Hospital, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04411563"
1400,"NCT04394195","sFlt1: a Biomarker of Organ Dysfunction in Critically-ill Patients With COVID-19?","COVIDsFlt1","Recruiting","No Results Available","CORONAVIRUS INFECTIONS","Other: measurement of circulating sFlt1 concentration","Association between concentration of circulating sFlt1 and use of vasopressor","CHU de Reims","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PO20043*","March 25, 2020","July 1, 2020","September 1, 2020","May 19, 2020",,"May 19, 2020","Chu Reims, Reims, France",,"https://ClinicalTrials.gov/show/NCT04394195"
1401,"NCT04408040","Use of Convalescent Plasma for COVID-19",,"Not yet recruiting","No Results Available","COVID","Biological: Convalescent Plasma","Arms 1 & 2: number of critical and severe COVID-19 infected patients who are transfused with convalescent plasma result in lower death rates than the reported fatality rate|Arms 1 & 2: number of critical and severe COVID-19 infected patients who survive the infection|Arm 3: number of high risk COVID-19 infected patients who are transfused with convalescent plasma result in lower incidence of progression to severe or critical disease than the reported case rate|Arm 4: number of health care providers who are at risk to exposure to COVID-19 who are transfused with convalescent plasma result in lower incidence of developing COVID-19 infection than the reported case rate","Northside Hospital, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","700","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NSH 1281","June 2020","June 2022","June 2022","May 29, 2020",,"May 29, 2020","Northside Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04408040"
